Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28001 Acebeda, La,,;Renta neta media por hogar;2020;27.408
28002 Ajalvir,,;Renta neta media por hogar;2020;39.782
28003 Alameda del Valle,,;Renta neta media por hogar;2020;30.463
28004 Álamo, El,,;Renta neta media por hogar;2020;30.898
28005 Alcalá de Henares,,;Renta neta media por hogar;2020;36.247
28006 Alcobendas,,;Renta neta media por hogar;2020;56.448
28007 Alcorcón,,;Renta neta media por hogar;2020;35.844
28008 Aldea del Fresno,,;Renta neta media por hogar;2020;26.820
28009 Algete,,;Renta neta media por hogar;2020;50.456
28010 Alpedrete,,;Renta neta media por hogar;2020;42.819
28011 Ambite,,;Renta neta media por hogar;2020;24.048
28012 Anchuelo,,;Renta neta media por hogar;2020;30.691
28013 Aranjuez,,;Renta neta media por hogar;2020;34.544
28014 Arganda del Rey,,;Renta neta media por hogar;2020;33.726
28015 Arroyomolinos,,;Renta neta media por hogar;2020;45.430
28016 Atazar, El,,;Renta neta media por hogar;2020;26.924
28017 Batres,,;Renta neta media por hogar;2020;38.856
28018 Becerril de la Sierra,,;Renta neta media por hogar;2020;38.814
28019 Belmonte de Tajo,,;Renta neta media por hogar;2020;27.069
28020 Berzosa del Lozoya,,;Renta neta media por hogar;2020;28.074
28021 Berrueco, El,,;Renta neta media por hogar;2020;30.082
28022 Boadilla del Monte,,;Renta neta media por hogar;2020;74.262
28023 Boalo, El,,;Renta neta media por hogar;2020;41.443
28024 Braojos,,;Renta neta media por hogar;2020;30.983
28025 Brea de Tajo,,;Renta neta media por hogar;2020;21.885
28026 Brunete,,;Renta neta media por hogar;2020;39.589
28027 Buitrago del Lozoya,,;Renta neta media por hogar;2020;31.229
28028 Bustarviejo,,;Renta neta media por hogar;2020;30.901
28029 Cabanillas de la Sierra,,;Renta neta media por hogar;2020;36.479
28030 Cabrera, La,,;Renta neta media por hogar;2020;35.187
28031 Cadalso de los Vidrios,,;Renta neta media por hogar;2020;25.321
28032 Camarma de Esteruelas,,;Renta neta media por hogar;2020;37.781
28033 Campo Real,,;Renta neta media por hogar;2020;31.787
28034 Canencia,,;Renta neta media por hogar;2020;24.541
28035 Carabaña,,;Renta neta media por hogar;2020;25.289
28036 Casarrubuelos,,;Renta neta media por hogar;2020;35.176
28037 Cenicientos,,;Renta neta media por hogar;2020;23.896
28038 Cercedilla,,;Renta neta media por hogar;2020;35.089
28039 Cervera de Buitrago,,;Renta neta media por hogar;2020;27.369
28040 Ciempozuelos,,;Renta neta media por hogar;2020;31.396
28041 Cobeña,,;Renta neta media por hogar;2020;52.549
